ID;H;A;N;Runtime;Designtime;Operational;Compliance;Assessment
AC-19;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-2 (2);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-18;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-16 (10);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-17;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-16;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-9 (1);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-19 (3);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-16 (6);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-6 (4);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-4 (19);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-20 (4);0.0;0.47189998626708984;0.3221000134944916;0.0;0.0;0.4657000005245209;0.0;NC
SC-10;0.0;0.0;0.4171000123023987;0.0;0.0;0.0;0.0;NC
IA-5 (12);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
IA-5 (13);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
IA-2 (9);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
IA-5 (6);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-3 (6);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-11;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-10;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-8 (2);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-15;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-14;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-13;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-4 (2);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-12;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
MA-4 (2);0.0;0.0;0.0;0.0;0.0;0.0;0.48339998722076416;NC
AC-16 (5);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-2 (3);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-6 (5);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-19 (4);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-5 (11);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-17 (9);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-5 (5);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-3 (7);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-8 (3);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-3 (10);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-4 (1);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-16 (4);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-2 (4);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-20 (2);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-8 (5);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-6 (2);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-4 (17);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-5 (10);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-17 (8);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-2 (7);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
IA-5 (4);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-3 (8);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-19 (5);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
CM-11 (2);0.322299987077713;0.0;0.0;0.0;0.0;0.0;0.0;NC
IA-8 (4);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-18 (1);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-16 (3);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-2 (5);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
SA-9 (5);0.0;0.0;0.0;0.0;0.0;0.2547999918460846;0.0;NC
AC-4 (18);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-6 (3);0.0;0.3774000108242035;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-20 (3);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-11 (1);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-17 (7);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-5 (3);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
IA-2 (8);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
AC-3 (9);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-18 (2);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-22;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
PE-5;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-21;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
PE-4;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-20;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-25;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-24;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
PE-3;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-23;0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-6 (8);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
AC-2 (6);0.0;0.47189998626708984;0.0;0.0;0.0;0.4657000005245209;0.0;NC
IA-3 (1);0.0;0.0;0.0;0.0;0.0;0.7563999891281128;0.0;NC
